Account,Fund,Type,Date,Company,Account,Units
120527JOSDIN,gn,,6/10/2011,SBL,-104.52,0
120527VANELL,gn,,6/10/2011,SBL,-104.52,0
120527WILADA,gn,,6/10/2011,SBL,-104.52,0
120527WILHOL,gn,,6/10/2011,SBL,-104.52,0
121115LOUSEM,gn,,6/10/2011,SBL,-104.52,0
121115TINDUB,gn,,6/10/2011,SBL,-104.52,0
1300021306,gn,,6/10/2011,SBL,-104.52,0
1300068182,gn,,6/10/2011,SBL,-104.52,0
1301000353,gn,,6/10/2011,SBL,-104.52,0
1301000874,gn,,6/10/2011,SBL,-104.52,0
1301001103,gn,,6/10/2011,SBL,-104.52,0
1301003073,gn,,6/10/2011,SBL,-104.52,0
1301004667,gn,,6/10/2011,SBL,-104.52,0
1301005020,gn,,6/10/2011,SBL,-104.52,0
1301005376,gn,,6/10/2011,SBL,-104.52,0
1301006343,gn,,6/10/2011,SBL,-104.52,0
1301009097,gn,,6/10/2011,SBL,-104.52,0
1301010188,gn,,6/10/2011,SBL,-104.52,0
1301010189,gn,,6/10/2011,SBL,-104.52,0
1301010375,gn,,6/10/2011,SBL,-104.52,0
1301010542,gn,,6/10/2011,SBL,-104.52,0
1301010545,gn,,6/10/2011,SBL,-104.52,0
1301010682,gn,,6/10/2011,SBL,-104.52,0
1301010750,gn,,6/10/2011,SBL,-104.52,0
1301010752,gn,,6/10/2011,SBL,-104.52,0
1301011373,gn,,6/10/2011,SBL,-104.52,0
1301011374,gn,,6/10/2011,SBL,-104.52,0
1301011648,gn,,6/10/2011,SBL,-104.52,0
1301011745,gn,,6/10/2011,SBL,-104.52,0
1301012076,gn,,6/10/2011,SBL,-104.52,0
1301012077,gn,,6/10/2011,SBL,-104.52,0
1301012079,gn,,6/10/2011,SBL,-104.52,0
1301012080,gn,,6/10/2011,SBL,-104.52,0
1301012081,gn,,6/10/2011,SBL,-104.52,0
1301012457,gn,,6/10/2011,SBL,-104.52,0
1301013350,gn,,6/10/2011,SBL,-104.52,0
1301013352,gn,,6/10/2011,SBL,-104.52,0
1301014571,gn,,6/10/2011,SBL,-104.52,0
1301014682,gn,,6/10/2011,SBL,-104.52,0
1301015798,gn,,6/10/2011,SBL,-104.52,0
1301016032,gn,,6/10/2011,SBL,-104.52,0
1301016465,gn,,6/10/2011,SBL,-104.52,0
1301016467,gn,,6/10/2011,SBL,-104.52,0
1301017597,gn,,6/10/2011,SBL,-104.52,0
1301017848,gn,,6/10/2011,SBL,-104.52,0
1301017849,gn,,6/10/2011,SBL,-104.52,0
1301017926,gn,,6/10/2011,SBL,-104.52,0
1301018192,gn,,6/10/2011,SBL,-104.52,0
1301018193,gn,,6/10/2011,SBL,-104.52,0
1301018238,gn,,6/10/2011,SBL,-104.52,0
1301018288,gn,,6/10/2011,SBL,-104.52,0
1301018292,gn,,6/10/2011,SBL,-104.52,0
1301018922,gn,,6/10/2011,SBL,-104.52,0
1301019191,gn,,6/10/2011,SBL,-104.52,0
1301019192,gn,,6/10/2011,SBL,-104.52,0
1301019775,gn,,6/10/2011,SBL,-104.52,0
1301019864,gn,,6/10/2011,SBL,-104.52,0
1301020121,gn,,6/10/2011,SBL,-104.52,0
1301021164,gn,,6/10/2011,SBL,-104.52,0
1301021683,gn,,6/10/2011,SBL,-104.52,0
1301022659,gn,,6/10/2011,SBL,-104.52,0
1301022661,gn,,6/10/2011,SBL,-104.52,0
1301022664,gn,,6/10/2011,SBL,-104.52,0
1301022841,gn,,6/10/2011,SBL,-104.52,0
1301022843,gn,,6/10/2011,SBL,-104.52,0
1301022850,gn,,6/10/2011,SBL,-104.52,0
1301023116,gn,,6/10/2011,SBL,-104.52,0
1301023964,gn,,6/10/2011,SBL,-104.52,0
1301024009,gn,,6/10/2011,SBL,-104.52,0
1301024012,gn,,6/10/2011,SBL,-104.52,0
1301024142,gn,,6/10/2011,SBL,-104.52,0
1301025641,gn,,6/10/2011,SBL,-104.52,0
1301025642,gn,,6/10/2011,SBL,-104.52,0
1301025975,gn,,6/10/2011,SBL,-104.52,0
1301025976,gn,,6/10/2011,SBL,-104.52,0
1301027076,gn,,6/10/2011,SBL,-104.52,0
1301027294,gn,,6/10/2011,SBL,-104.52,0
1301029737,gn,,6/10/2011,SBL,-104.52,0
1301029738,gn,,6/10/2011,SBL,-104.52,0
1301030897,gn,,6/10/2011,SBL,-104.52,0
1301032689,gn,,6/10/2011,SBL,-104.52,0
1301033086,gn,,6/10/2011,SBL,-104.52,0
1301034662,gn,,6/10/2011,SBL,-104.52,0
1301036027,gn,,6/10/2011,SBL,-104.52,0
1301037985,gn,,6/10/2011,SBL,-104.52,0
1301039446,gn,,6/10/2011,SBL,-104.52,0
1301039547,gn,,6/10/2011,SBL,-104.52,0
1301040265,gn,,6/10/2011,SBL,-104.52,0
1301040441,gn,,6/10/2011,SBL,-104.52,0
1301041320,gn,,6/10/2011,SBL,-104.52,0
1301042216,gn,,6/10/2011,SBL,-104.52,0
1301042217,gn,,6/10/2011,SBL,-104.52,0
1301042296,gn,,6/10/2011,SBL,-104.52,0
1301042380,gn,,6/10/2011,SBL,-104.52,0
1301042726,gn,,6/10/2011,SBL,-104.52,0
1301043226,gn,,6/10/2011,SBL,-104.52,0
1301043227,gn,,6/10/2011,SBL,-104.52,0
1301043232,gn,,6/10/2011,SBL,-104.52,0
1301043400,gn,,6/10/2011,SBL,-104.52,0
1301044286,gn,,6/10/2011,SBL,-104.52,0
1301044397,gn,,6/10/2011,SBL,-104.52,0
1301044398,gn,,6/10/2011,SBL,-104.52,0
1301044548,gn,,6/10/2011,SBL,-104.52,0
1301044816,gn,,6/10/2011,SBL,-104.52,0
1301046453,gn,,6/10/2011,SBL,-104.52,0
1301046826,gn,,6/10/2011,SBL,-104.52,0
1301047068,gn,,6/10/2011,SBL,-104.52,0
1301048755,gn,,6/10/2011,SBL,-104.52,0
1301048877,gn,,6/10/2011,SBL,-104.52,0
1301049562,gn,,6/10/2011,SBL,-104.52,0
1301050370,gn,,6/10/2011,SBL,-104.52,0
1301050371,gn,,6/10/2011,SBL,-104.52,0
1301050379,gn,,6/10/2011,SBL,-104.52,0
1301050380,gn,,6/10/2011,SBL,-104.52,0
1301051264,gn,,6/10/2011,SBL,-104.52,0
1301051727,gn,,6/10/2011,SBL,-104.52,0
1301052898,gn,,6/10/2011,SBL,-104.52,0
1301053072,gn,,6/10/2011,SBL,-104.52,0
1301053146,gn,,6/10/2011,SBL,-104.52,0
1301053411,gn,,6/10/2011,SBL,-104.52,0
1301053637,gn,,6/10/2011,SBL,-104.52,0
1301054130,gn,,6/10/2011,SBL,-104.52,0
1301054291,gn,,6/10/2011,SBL,-104.52,0
1301054302,gn,,6/10/2011,SBL,-104.52,0
1301054314,gn,,6/10/2011,SBL,-104.52,0
1301054586,gn,,6/10/2011,SBL,-104.52,0
1301054589,gn,,6/10/2011,SBL,-104.52,0
1301054592,gn,,6/10/2011,SBL,-104.52,0
1301054603,gn,,6/10/2011,SBL,-104.52,0
1301054604,gn,,6/10/2011,SBL,-104.52,0
1301054609,gn,,6/10/2011,SBL,-104.52,0
1301054694,gn,,6/10/2011,SBL,-104.52,0
1301054811,gn,,6/10/2011,SBL,-104.52,0
1301055513,gn,,6/10/2011,SBL,-104.52,0
1301055806,gn,,6/10/2011,SBL,-104.52,0
1301055971,gn,,6/10/2011,SBL,-104.52,0
1301056034,gn,,6/10/2011,SBL,-104.52,0
1301056237,gn,,6/10/2011,SBL,-104.52,0
1301056238,gn,,6/10/2011,SBL,-104.52,0
1301056303,gn,,6/10/2011,SBL,-104.52,0
1301056802,gn,,6/10/2011,SBL,-104.52,0
1301057360,gn,,6/10/2011,SBL,-104.52,0
1301057893,gn,,6/10/2011,SBL,-104.52,0
1301059101,gn,,6/10/2011,SBL,-104.52,0
1301059141,gn,,6/10/2011,SBL,-104.52,0
1301059919,gn,,6/10/2011,SBL,-104.52,0
1301059920,gn,,6/10/2011,SBL,-104.52,0
1301060462,gn,,6/10/2011,SBL,-104.52,0
1301060463,gn,,6/10/2011,SBL,-104.52,0
1301060915,gn,,6/10/2011,SBL,-104.52,0
1301061039,gn,,6/10/2011,SBL,-104.52,0
1301061733,gn,,6/10/2011,SBL,-104.52,0
1301061734,gn,,6/10/2011,SBL,-104.52,0
1301061804,gn,,6/10/2011,SBL,-104.52,0
1301062602,gn,,6/10/2011,SBL,-104.52,0
1301064133,gn,,6/10/2011,SBL,-104.52,0
1301064883,gn,,6/10/2011,SBL,-104.52,0
1301064885,gn,,6/10/2011,SBL,-104.52,0
1301064930,gn,,6/10/2011,SBL,-104.52,0
1301064931,gn,,6/10/2011,SBL,-104.52,0
1301065438,gn,,6/10/2011,SBL,-104.52,0
1301065439,gn,,6/10/2011,SBL,-104.52,0
1301066513,gn,,6/10/2011,SBL,-104.52,0
1301066514,gn,,6/10/2011,SBL,-104.52,0
1301066577,gn,,6/10/2011,SBL,-104.52,0
1301067230,gn,,6/10/2011,SBL,-104.52,0
1301067231,gn,,6/10/2011,SBL,-104.52,0
1301068238,gn,,6/10/2011,SBL,-104.52,0
1301068239,gn,,6/10/2011,SBL,-104.52,0
1301068407,gn,,6/10/2011,SBL,-104.52,0
1301068533,gn,,6/10/2011,SBL,-104.52,0
1301068534,gn,,6/10/2011,SBL,-104.52,0
1301069556,gn,,6/10/2011,SBL,-104.52,0
1301071679,gn,,6/10/2011,SBL,-104.52,0
1301073655,gn,,6/10/2011,SBL,-104.52,0
1301074337,gn,,6/10/2011,SBL,-104.52,0
1301074872,gn,,6/10/2011,SBL,-104.52,0
