company,account,amount,date,units,fund,,,,,,,,,A Share,,Units of Bod,Value of Exchange,,Total Mid A Units,,GN_PY_UNTS,GN_NW_UNTS,GN_TR_UNTS,GN_DT_UNTS,
VIR,5669857,0,3/11/2011,-317.8712,gn,,,,,,,,,-317.871,,1110.910689,-5387.91684,,794.678,,794.678,0,0,0,
VIR,5556177,0,3/11/2011,-488.3008,gn,,,,,,,,,-488.301,,1706.535786,-8276.69856,,1220.752,,1220.752,0,0,0,
VIR,5807683,0,3/11/2011,-186.5692,gn,,,,,,,,,-186.569,,652.0305031,-3162.34794,,466.423,,436.912,29.511,0,0,
VIR,5566855,0,3/11/2011,-310.8064,gn,,,,,,,,,-310.803,,1086.220305,-5268.16848,,777.016,,777.016,0,0,0,
VIR,5790549,0,3/11/2011,-185.904,gn,,,,,,,,,-185.904,,649.705732,-3151.0728,,464.826,,494.892,-30.066,0,0,
VIR,5803722,0,3/11/2011,-36.7616,gn,,,,,,,,,-36.7616,,128.4761072,-623.10912,,91.904,,91.904,0,0,0,
VIR,5809183,0,3/11/2011,-34,gn,,,,,,,,,-34,,118.8247423,-576.3,,85,,85,0,0,0,
VIR,5808383,0,3/11/2011,-1652.0128,gn,,,,,,,,,-1652.01,,5773.52927,-28001.61696,,4130.032,,4130.032,0,0,0,
VIR,5560735,0,3/11/2011,-66.042,gn,,,,,,,,,-66.042,,230.8065773,-1119.4119,,157.285,,157.285,0,0,0,
VIR,5809375,0,3/11/2011,-402.2864,gn,,,,,,,,,-402.286,,1405.928759,-6818.75448,,1005.716,,1005.716,0,0,0,
VIR,5665694,0,3/11/2011,-60.6424,gn,,,,,,,,,-60.6424,,211.9358103,-1027.88868,,151.606,,153.928,-2.322,0,0,
VIR,5628265,0,3/11/2011,-42.3696,gn,,,,,,,,,-42.3696,,148.0752,-718.16472,,105.924,,106.678,-0.754,0,0,
VIR,5808948,0,3/11/2011,-80.7584,gn,,,,,,,,,-80.7584,,282.2381196,-1368.85488,,201.896,,179.245,22.651,0,0,
VIR,5679622,0,3/11/2011,-127.5456,gn,,,,,,,,,-127.546,,445.7521485,-2161.89792,,318.864,,321.94,-3.076,0,0,
